1	Laptop	4	70000.00	2024-11-27 18:20:51	Added
2	Mouse	30	5000.00	2024-11-27 18:21:12	Added
3	Keyboard	28	7900.00	2024-11-27 18:26:28	Added
2	Mouse	25	4998.00	2024-11-27 18:27:55	Updated
4	Headphone	56	25000.00	2024-11-27 18:37:08	Added
4	Headphone	56	25000.00	2024-11-27 18:37:08	Deleted
1	Laptop	59	90000.00	2024-11-27 18:39:22	Added
1	Laptop	5	80000.00	2024-11-27 18:40:10	Added
1	Laptop	40	79000.00	2024-11-27 18:41:35	Updated
1	Mac	89000	89000.00	2024-11-27 18:42:12	Updated
1	Laptop	40	79000.00	2024-11-27 18:41:35	Deleted
1	Mac	89000	89000.00	2024-11-27 18:42:12	Deleted
2	Mouse	25	4998.00	2024-11-27 18:27:55	Deleted
3	Keyboard	28	7900.00	2024-11-27 18:26:28	Deleted
1	Mac	8	149000.00	2024-11-27 18:45:00	Added
1	ZBOOK	10	11990.00	2024-11-27 18:47:03	Added
1	ThinkPad	40	90999.00	2024-11-27 18:49:23	Added
2	00	0	0.00	2024-11-27 18:50:33	Added
1	Mac	8	149000.00	2024-11-27 18:45:00	Deleted
1	ZBOOK	10	11990.00	2024-11-27 18:47:03	Deleted
1	ThinkPad	40	90999.00	2024-11-27 18:49:23	Deleted
2	00	0	0.00	2024-11-27 18:50:33	Deleted
1	Laptop	24	90999.00	2024-11-27 18:51:23	Added
2	Keyboard	37	3990.00	2024-11-27 18:51:54	Added
3	Mouse	30	2700.00	2024-11-27 18:52:47	Added
4	Charger	27	2200.00	2024-11-27 18:53:33	Added
5	Monitor	17	34099.00	2024-11-27 18:54:39	Added
3	Mouse	90	2500.00	2024-11-27 18:57:35	Updated
